City,Temperature,Latitude,City_ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
dikson,14.29,73.51,66.0,12.0,RU,1558378766.0,85.0,73.51,80.55,20.22,12.15
hermanus,67.39,-34.42,40.0,9.0,ZA,1558378761.0,74.0,-34.42,19.24,55.0,23.78
mataura,57.99,-46.19,96.0,58.0,NZ,1558378772.0,88.0,-46.19,168.86,48.0,1.99
bambous virieux,77.49,-20.34,18.0,75.0,MU,1558378758.0,74.0,-20.34,57.76,78.8,11.41
rikitea,77.04,-23.12,28.0,95.0,PF,1558378669.0,76.0,-23.12,-134.97,74.58,12.82
lorengau,82.27,-2.02,450.0,100.0,PG,1558378869.0,89.0,-2.02,147.27,77.46,1.12
cabo san lucas,73.78,22.89,53.0,5.0,MX,1558378605.0,34.0,22.89,-109.91,91.0,11.41
thompson,24.8,55.74,62.0,75.0,CA,1558378765.0,35.0,55.74,-97.86,57.2,3.36
ushuaia,42.8,-54.8,17.0,75.0,AR,1558378606.0,75.0,-54.81,-68.31,44.6,36.91
busselton,69.96,-33.65,21.0,84.0,AU,1558378758.0,63.0,-33.64,115.35,55.0,12.86
sioux lookout,35.28,50.1,437.0,40.0,CA,1558378879.0,44.0,50.1,-91.92,59.0,6.93
chokurdakh,27.21,70.63,179.0,0.0,RU,1558378788.0,89.0,70.62,147.9,7.08,5.99
ketchikan,47.5,55.34,102.0,1.0,US,1558378684.0,76.0,55.34,-131.65,55.4,17.22
avarua,84.2,-21.21,12.0,100.0,CK,1558378756.0,94.0,-21.21,-159.78,71.6,2.24
coquimbo,64.4,-29.95,197.0,75.0,CL,1558378792.0,59.0,-29.95,-71.34,64.4,5.82
upernavik,20.88,72.79,309.0,0.0,GL,1558378846.0,85.0,72.79,-56.15,29.22,11.59
east london,74.39,-33.02,117.0,20.0,ZA,1558378775.0,72.0,-33.02,27.91,60.8,27.51
cape town,64.2,-33.93,4.0,20.0,ZA,1558378755.0,76.0,-33.93,18.42,55.99,8.05
hilo,74.7,19.73,106.0,40.0,US,1558378755.0,69.0,19.71,-155.08,79.0,4.7
iqaluit,23,63.75,136.0,90.0,CA,1558378780.0,86.0,63.75,-68.52,33.8,6.93
yellowknife,17.73,62.46,42.0,75.0,CA,1558378762.0,26.0,62.45,-114.38,55.4,8.05
puerto ayora,81.57,-0.74,44.0,26.0,EC,1558378762.0,86.0,-0.74,-90.35,79.0,5.99
vaini,78.8,-21.2,139.0,0.0,IN,1558378780.0,88.0,15.34,74.49,78.9,1.59
beringovskiy,11.26,63.05,194.0,58.0,RU,1558378791.0,90.0,63.05,179.32,27.42,6.2
codrington,53.02,-38.27,195.0,90.0,AU,1558378791.0,93.0,-28.95,153.24,60.8,5.82
meulaboh,80.24,4.14,430.0,100.0,ID,1558378877.0,81.0,4.14,96.13,81.6,5.88
markova,36.86,48.68,263.0,0.0,RU,1558378835.0,49.0,52.21,104.21,46.4,6.71
kapaa,77.14,22.08,103.0,20.0,US,1558378773.0,74.0,22.08,-159.32,80.6,10.29
georgetown,81.16,5.41,140.0,75.0,GY,1558378612.0,83.0,6.8,-58.16,82.4,11.41
katsuura,48.02,35.13,97.0,90.0,JP,1558378772.0,93.0,33.93,134.5,66.2,5.82
butaritari,83.98,3.07,72.0,55.0,KI,1558378767.0,77.0,3.07,172.79,83.94,9.13
bethel,51.53,41.37,35.0,20.0,US,1558378760.0,71.0,60.79,-161.76,51.8,4.68
cherskiy,13.78,68.75,384.0,100.0,RU,1558378863.0,96.0,68.75,161.3,24.0,7.16
kodiak,41,57.79,50.0,1.0,US,1558378763.0,63.0,39.95,-94.76,53.01,8.05
chuy,65.95,-33.7,120.0,96.0,UY,1558378776.0,91.0,-33.69,-53.46,65.58,13.78
arraial do cabo,71.6,-22.97,125.0,0.0,BR,1558378491.0,78.0,-22.97,-42.02,84.2,4.7
airai,60.13,-8.93,310.0,35.0,TL,1558378846.0,73.0,-8.93,125.41,75.12,7.2
tuatapere,57.99,-46.13,397.0,71.0,NZ,1558378871.0,88.0,-46.13,167.69,48.0,1.99
port elizabeth,62.6,-33.92,47.0,20.0,US,1558378762.0,46.0,39.31,-74.98,93.0,12.75
bonavista,36,48.65,529.0,59.0,CA,1558378895.0,74.0,48.65,-53.11,44.01,15.99
hithadhoo,84.56,-0.6,193.0,100.0,MV,1558378650.0,75.0,-0.6,73.08,84.12,11.3
touros,82.4,-5.2,505.0,52.0,BR,1558378891.0,75.0,-5.2,-35.46,84.12,15.88
haines junction,33.39,60.75,163.0,11.0,CA,1558378785.0,48.0,60.75,-137.51,51.18,7.23
ambilobe,73.67,-13.2,87.0,2.0,MG,1558378770.0,92.0,-13.19,49.05,74.76,4.52
hobart,49.55,-42.88,216.0,40.0,AU,1558378795.0,66.0,-42.88,147.33,57.99,5.82
kununurra,77,-15.77,523.0,75.0,AU,1558378894.0,58.0,-15.77,128.74,82.4,6.93
carnarvon,75.2,-24.87,225.0,58.0,ZA,1558378797.0,65.0,-30.97,22.13,50.1,14.94
tasiilaq,30.2,65.61,181.0,75.0,GL,1558378788.0,74.0,65.61,-37.64,35.6,12.75
albany,45.18,42.6,15.0,40.0,US,1558378727.0,45.0,42.65,-73.75,82.4,12.75
rocha,65.37,-34.48,254.0,97.0,UY,1558378828.0,96.0,-34.48,-54.34,61.08,11.3
saint-philippe,68.54,-21.36,162.0,75.0,CA,1558378785.0,53.0,45.36,-73.48,75.0,29.97
viedma,62.69,-40.81,526.0,14.0,AR,1558378894.0,41.0,-40.81,-62.99,58.56,10.98
havelock,62.37,34.88,497.0,1.0,US,1558378595.0,51.0,34.88,-76.9,88.0,12.75
new norfolk,49.08,-42.78,29.0,40.0,AU,1558378759.0,66.0,-42.78,147.06,57.99,5.82
leningradskiy,12.81,69.38,251.0,0.0,RU,1558378827.0,80.0,69.38,178.42,22.2,6.38
namatanai,82.02,-3.67,203.0,100.0,PG,1558378793.0,88.0,-3.66,152.44,77.46,5.95
bredasdorp,71.33,-34.53,112.0,0.0,ZA,1558378775.0,62.0,-34.53,20.04,55.0,8.05
sao joao da barra,71.6,-21.64,161.0,40.0,BR,1558378785.0,55.0,-21.64,-41.05,86.0,3.36
necochea,66.99,-38.55,483.0,100.0,AR,1558378887.0,47.0,-38.55,-58.74,59.0,5.99
souillac,77.47,-20.52,389.0,1.0,FR,1558378869.0,59.0,45.6,-0.6,62.6,11.41
punta arenas,48.09,-53.15,27.0,40.0,CL,1558378759.0,61.0,-53.16,-70.91,50.0,46.08
launceston,44.96,-41.45,85.0,40.0,AU,1558378770.0,93.0,-41.43,147.14,55.0,14.99
atuona,82.8,-9.8,5.0,78.0,PF,1558378755.0,76.0,-9.8,-139.03,81.96,16.49
san pedro,81.46,14.35,228.0,100.0,AR,1558378735.0,69.0,-33.68,-59.66,63.0,7.0
nikolskoye,29.14,59.7,86.0,20.0,RU,1558378770.0,56.0,59.7,30.79,69.01,4.47
longyearbyen,-5.8,78.22,411.0,75.0,NO,1558378873.0,74.0,78.22,15.63,28.4,5.82
fortuna,55.92,40.6,69.0,20.0,ES,1558378767.0,77.0,38.18,-1.13,69.8,4.7
acari,79,-15.43,319.0,100.0,BR,1558378849.0,48.0,-6.44,-36.64,89.34,11.99
jamestown,45.46,42.1,81.0,84.0,AU,1558378769.0,52.0,-33.21,138.6,54.78,5.86
ribeira grande,62.6,38.52,210.0,40.0,PT,1558378794.0,88.0,38.52,-28.7,66.2,10.29
port alfred,68,-33.59,48.0,67.0,ZA,1558378763.0,69.0,-33.59,26.89,61.0,8.01
vila franca do campo,57.2,37.72,363.0,40.0,PT,1558378859.0,88.0,37.72,-25.43,66.2,12.75
ancud,53.6,-41.87,248.0,0.0,CL,1558378825.0,70.0,-41.87,-73.83,48.2,9.17
kaitangata,56.61,-46.28,185.0,16.0,NZ,1558378789.0,67.0,-46.28,169.85,52.0,10.0
bluff,57.99,-46.6,189.0,1.0,AU,1558378790.0,89.0,-23.58,149.07,61.08,11.83
rio gallegos,51.8,-51.62,202.0,0.0,AR,1558378754.0,40.0,-51.62,-69.22,53.6,34.45
qaanaaq,14.05,77.48,2.0,25.0,GL,1558378755.0,73.0,77.48,-69.36,22.2,2.37
norman wells,28.4,65.28,165.0,75.0,CA,1558378785.0,45.0,65.28,-126.83,66.2,6.93
auki,82.22,-8.77,379.0,83.0,NG,1558378862.0,26.0,12.18,6.51,98.88,6.08
tuktoyaktuk,3.2,69.45,245.0,40.0,CA,1558378823.0,75.0,69.44,-133.03,41.0,19.46
bella vista,64.58,36.43,91.0,62.0,AR,1558378771.0,80.0,-28.51,-59.05,75.66,7.29
narsaq,44.6,60.92,156.0,20.0,GL,1558378784.0,28.0,60.91,-46.05,57.2,9.17
mnogovershinnyy,27.88,53.94,207.0,100.0,RU,1558378793.0,96.0,53.94,139.92,39.12,8.05
hamilton,61,39.18,232.0,90.0,CA,1558378635.0,67.0,43.26,-79.87,59.0,14.99
severo-kurilsk,29.23,50.68,204.0,99.0,RU,1558378793.0,97.0,50.68,156.12,39.66,15.1
kavieng,83.55,-2.57,173.0,100.0,PG,1558378787.0,75.0,-2.57,150.8,82.86,3.76
paita,81.25,-5.09,129.0,0.0,PE,1558378778.0,290.0,-5.09,-81.11,62.6,17.22
lagos,84.2,6.58,394.0,20.0,NG,1558378870.0,83.0,6.46,3.39,82.4,3.36
pisco,73.08,-13.7,56.0,0.0,PE,1558378764.0,30.0,-13.71,-76.2,75.99,11.41
constitucion,60.35,-35.33,14.0,5.0,MX,1558378757.0,4.0,23.99,-104.67,84.2,16.11
san cristobal,93.2,7.77,468.0,75.0,EC,1558378885.0,37.0,-0.39,-78.55,71.6,4.7
hami,54.34,42.8,259.0,0.0,CN,1558378834.0,11.0,42.84,93.51,69.72,6.2
sitka,47.08,57.05,121.0,100.0,US,1558378776.0,98.0,37.17,-99.65,48.99,11.99
castro,60.94,-24.79,11.0,0.0,CL,1558378756.0,70.0,-42.48,-73.76,48.2,9.17
saint george,62.8,37.1,75.0,40.0,GR,1558378768.0,33.0,39.45,22.34,75.2,11.41
barrow,8.6,71.29,99.0,100.0,AR,1558378772.0,59.0,-38.31,-60.23,59.64,13.38
ayan,30.15,56.45,38.0,76.0,TR,1558378761.0,58.0,40.67,33.6,56.94,0.54
varhaug,44.11,58.61,37.0,0.0,NO,1558378761.0,63.0,58.61,5.65,64.99,8.05
saskylakh,0.82,71.92,13.0,0.0,RU,1558378757.0,91.0,71.97,114.09,4.92,2.26
udachnyy,24.8,66.42,182.0,90.0,RU,1558378789.0,48.0,66.42,112.4,39.2,11.18
talnakh,35.6,69.49,150.0,75.0,RU,1558378783.0,92.0,69.49,88.39,15.8,29.08
victoria,65.12,22.29,434.0,75.0,BN,1558378812.0,88.0,5.28,115.24,80.6,5.21
torbay,36.86,47.67,41.0,75.0,CA,1558378627.0,65.0,47.66,-52.73,48.0,24.16
samana,86,19.21,222.0,75.0,EC,1558378796.0,94.0,0.12,-76.97,77.0,4.7
fort nelson,35.6,58.81,360.0,20.0,CA,1558378858.0,42.0,58.81,-122.69,68.0,5.82
lompoc,64.78,34.64,110.0,75.0,US,1558378662.0,63.0,34.64,-120.46,66.99,12.75
te anau,55.45,-45.42,258.0,61.0,NZ,1558378834.0,93.0,-45.41,167.72,39.3,4.12
ilulissat,30.2,69.22,196.0,90.0,GL,1558378791.0,86.0,69.22,-51.1,33.8,4.7
banda aceh,80.22,5.56,357.0,100.0,ID,1558378858.0,76.0,5.56,95.32,84.12,11.95
ternate,78.85,0.8,89.0,20.0,PH,1558378770.0,74.0,14.29,120.72,86.0,1.12
mar del plata,66.69,-38,51.0,5.0,AR,1558378763.0,33.0,-46.43,-67.52,50.1,18.52
aykhal,24.8,66,10.0,90.0,RU,1558378756.0,48.0,65.95,111.51,39.2,11.18
khatanga,-1.05,71.97,55.0,10.0,RU,1558378764.0,92.0,71.98,102.47,9.96,10.94
mount gambier,53.6,-37.83,212.0,90.0,AU,1558378628.0,100.0,-37.83,140.78,53.6,8.05
komsomolskiy,53.6,40.43,350.0,55.0,RU,1558378856.0,93.0,67.55,63.78,18.78,13.2
provideniya,31.89,64.38,236.0,5.0,RU,1558378816.0,72.0,64.42,-173.23,33.72,5.23
grindavik,39.11,63.84,398.0,75.0,IS,1558378871.0,100.0,63.84,-22.43,51.01,9.17
lagoa,61.66,39.05,188.0,20.0,PT,1558378790.0,46.0,37.14,-8.45,73.4,18.34
saldanha,63.93,-33.01,279.0,86.0,PT,1558378840.0,46.0,41.42,-6.55,63.06,9.75
hofn,37.26,64.25,58.0,90.0,IS,1558378764.0,81.0,64.25,-15.21,48.2,6.93
teya,23.14,60.38,170.0,75.0,MX,1558378786.0,39.0,21.05,-89.07,99.0,16.11
najran,82.4,17.49,94.0,75.0,SA,1558378772.0,77.0,17.54,44.22,69.8,11.41
vila velha,75.61,-20.33,275.0,75.0,BR,1558378839.0,83.0,-3.71,-38.6,80.6,9.17
ponta do sol,58.55,32.67,70.0,0.0,BR,1558378767.0,57.0,-20.63,-46.0,73.68,5.32
akureyri,33.8,65.68,364.0,90.0,IS,1558378859.0,66.0,65.68,-18.09,48.2,6.93
whitehorse,35.67,60.72,107.0,40.0,CA,1558378774.0,36.0,60.72,-135.06,64.0,3.36
byron bay,62.49,-28.65,419.0,40.0,AU,1558378875.0,93.0,-28.65,153.62,63.0,4.7
sao filipe,75.61,14.9,118.0,2.0,CV,1558378776.0,84.0,14.9,-24.5,72.96,16.91
maragogi,81.55,-9.01,23.0,97.0,BR,1558378610.0,69.0,-9.01,-35.22,83.94,9.42
port lincoln,56.75,-34.73,250.0,100.0,AU,1558378826.0,76.0,-34.72,135.86,63.6,15.48
dingle,76.33,11,268.0,4.0,PH,1558378836.0,80.0,11.0,122.67,79.08,2.73
buala,82.81,-8.14,318.0,87.0,SB,1558378849.0,79.0,-8.15,159.59,81.96,10.78
lebu,57.85,-37.62,249.0,75.0,ET,1558378826.0,68.0,8.96,38.73,64.4,2.95
havoysund,28.4,71,154.0,20.0,NO,1558378784.0,80.0,71.0,24.66,39.2,24.16
shimoda,46.85,34.67,372.0,75.0,JP,1558378860.0,100.0,34.7,138.93,68.0,11.41
port-gentil,78.13,-0.72,257.0,20.0,GA,1558378833.0,88.0,-0.72,8.78,80.6,11.41
poum,79.09,-20.23,471.0,75.0,MK,1558378885.0,71.0,41.28,20.71,53.6,5.82
nanortalik,37.58,60.14,64.0,29.0,GL,1558378766.0,72.0,60.14,-45.24,43.08,4.68
mahebourg,77.4,-20.41,1.0,75.0,MU,1558378503.0,74.0,-20.41,57.7,78.8,11.41
bilibino,10,68.05,65.0,93.0,RU,1558378766.0,89.0,68.06,166.44,27.6,6.29
marawi,66.16,8,221.0,12.0,PH,1558378796.0,93.0,8.0,124.29,77.0,5.01
bandarbeyla,81.72,9.49,242.0,67.0,SO,1558378822.0,74.0,9.49,50.81,82.68,13.38
chapais,28.4,49.78,351.0,90.0,CA,1558378856.0,93.0,49.78,-74.86,44.6,6.93
nome,28.4,64.5,456.0,40.0,US,1558378882.0,62.0,30.04,-94.42,87.8,12.75
synya,14.68,65.37,452.0,29.0,RU,1558378882.0,68.0,65.37,58.04,32.28,8.55
comodoro rivadavia,62.6,-45.87,145.0,0.0,AR,1558378608.0,37.0,-45.87,-67.48,55.4,16.11
marzuq,73.2,14.4,534.0,84.0,YE,1558378896.0,36.0,14.4,46.47,79.44,6.02
aklavik,19.4,68.22,127.0,75.0,CA,1558378563.0,50.0,68.22,-135.01,55.4,3.09
brae,46.4,60.4,440.0,99.0,GB,1558378879.0,87.0,60.4,-1.35,51.8,4.7
santa ines,79.32,-3.67,280.0,75.0,EC,1558378840.0,72.0,-0.82,-78.63,64.4,2.93
pangnirtung,26.82,66.15,287.0,75.0,CA,1558378841.0,80.0,66.15,-65.72,35.6,18.34
hobyo,83.07,5.35,74.0,91.0,SO,1558378767.0,71.0,5.35,48.53,83.58,13.49
pevek,6.39,69.7,63.0,93.0,RU,1558378765.0,71.0,69.7,170.27,26.16,4.65
port hedland,73.4,-20.32,192.0,0.0,AU,1558378791.0,51.0,-20.31,118.58,62.6,6.93
lazaro cardenas,85.42,17.96,200.0,75.0,MX,1558378792.0,14.0,28.39,-105.62,88.0,21.92
clyde river,8.6,70.47,175.0,75.0,CA,1558378787.0,86.0,70.47,-68.59,28.4,12.75
maniitsoq,38.53,65.42,429.0,1.0,GL,1558378877.0,76.0,65.42,-52.9,40.02,8.08
cidreira,67.53,-30.18,88.0,0.0,BR,1558378770.0,66.0,-30.17,-50.22,76.56,5.5
faanui,82.6,-16.48,115.0,61.0,PF,1558378775.0,74.0,-16.48,-151.75,82.86,11.59
darhan,46.44,49.49,353.0,32.0,MN,1558378857.0,36.0,49.49,105.92,51.72,1.7
nuuk,35.29,64.18,493.0,20.0,GL,1558378889.0,70.0,64.17,-51.74,42.8,8.05
avera,73.67,33.19,348.0,40.0,US,1558378856.0,40.0,33.19,-82.53,91.4,9.17
zhigansk,24.91,66.77,61.0,97.0,RU,1558378765.0,84.0,66.77,123.37,27.24,8.77
padang,78.58,-0.95,536.0,100.0,ID,1558378896.0,82.0,-0.92,100.36,81.24,7.65
hasaki,45.03,35.73,281.0,75.0,JP,1558378841.0,93.0,35.73,140.83,66.2,16.11
esperance,69.8,-33.87,293.0,40.0,TT,1558378843.0,46.0,10.24,-61.45,91.4,18.34
tiksi,13.08,71.69,8.0,95.0,RU,1558378756.0,88.0,71.64,128.87,14.1,15.7
perth,70.9,-31.93,542.0,20.0,GB,1558378872.0,82.0,56.4,-3.43,59.0,3.36
coihaique,49.33,-45.58,271.0,0.0,CL,1558378837.0,59.0,-45.58,-72.07,46.4,4.7
faya,65.3,18.39,178.0,20.0,SA,1558378788.0,76.0,18.39,42.45,59.0,5.82
sao felix do xingu,79.12,-6.64,272.0,100.0,BR,1558378837.0,92.0,-6.64,-51.99,80.34,3.74
saint anthony,59.56,45.02,519.0,90.0,US,1558378893.0,81.0,43.97,-111.68,45.0,3.36
nelson bay,55.4,-32.72,396.0,2.0,AU,1558378870.0,93.0,-32.72,152.14,59.0,3.36
margate,55.22,51.38,126.0,40.0,AU,1558378778.0,66.0,-43.03,147.26,57.99,5.82
coahuayana,86,18.73,151.0,1.0,MX,1558378783.0,22.0,18.62,-100.35,100.5,4.38
ahipara,65.52,-35.17,418.0,99.0,NZ,1558378875.0,100.0,-35.17,173.16,55.0,9.51
kathmandu,57.2,27.72,164.0,75.0,NP,1558378762.0,73.0,27.71,85.32,71.6,6.67
salalah,82.4,17.02,218.0,20.0,OM,1558378796.0,74.0,17.01,54.1,86.0,10.29
acapulco,84.2,16.86,337.0,5.0,MX,1558378854.0,70.0,16.86,-99.88,84.2,11.41
mizan teferi,64.63,6.98,488.0,59.0,ET,1558378888.0,80.0,6.99,35.58,63.42,3.06
port blair,82.06,11.67,111.0,99.0,IN,1558378774.0,71.0,11.67,92.75,85.2,7.18
adrar,85.59,20.5,133.0,40.0,DZ,1558378779.0,17.0,27.87,-0.29,89.6,28.86
tiarei,87.8,-17.53,54.0,20.0,PF,1558378764.0,70.0,-17.53,-149.33,84.2,10.29
qasigiannguit,30.2,68.82,71.0,90.0,GL,1558378767.0,86.0,68.82,-51.19,33.8,4.7
kruisfontein,62.08,-34,43.0,92.0,ZA,1558378762.0,69.0,-34.0,24.73,55.68,16.53
emerald,68,-23.53,84.0,0.0,AU,1558378770.0,82.0,-23.53,148.16,60.8,6.93
road town,82.67,18.42,342.0,40.0,VG,1558378828.0,66.0,18.42,-64.62,86.0,9.17
namibe,77.59,-15.2,391.0,0.0,AO,1558378870.0,74.0,-15.19,12.15,71.7,17.4
le port,68.94,-20.94,215.0,25.0,FR,1558378795.0,64.0,42.87,1.37,60.01,4.47
geraldton,66.63,-28.77,388.0,75.0,CA,1558378869.0,43.0,49.72,-86.95,55.4,11.41
cockburn town,80.69,21.46,326.0,1.0,TC,1558378560.0,79.0,21.46,-71.14,80.52,12.5
saint-joseph,68.79,-21.37,421.0,75.0,FR,1558378875.0,93.0,43.56,6.97,64.0,3.36
florida,80.37,28.75,291.0,40.0,CU,1558378581.0,52.0,21.53,-78.23,87.8,5.82
port hardy,51.8,50.7,32.0,90.0,CA,1558378564.0,87.0,50.7,-127.42,53.6,5.82
sur,78.96,22.57,82.0,66.0,OM,1558378769.0,57.0,22.57,59.53,88.26,14.83
paamiut,35.24,61.99,209.0,7.0,GL,1558378794.0,91.0,61.99,-49.67,35.7,16.31
yakeshi,38.66,49.28,105.0,100.0,CN,1558378774.0,48.0,49.28,120.73,46.86,20.31
khor,32.14,47.89,77.0,100.0,RU,1558378768.0,94.0,47.88,134.96,54.96,7.36
yumen,45.43,40.28,167.0,2.0,CN,1558378785.0,10.0,40.29,97.04,59.1,1.5
yulara,57.2,-25.24,303.0,20.0,AU,1558378845.0,77.0,-25.24,130.99,62.6,8.16
dunedin,55,-45.87,307.0,1.0,NZ,1558378846.0,81.0,-45.87,170.5,46.99,4.0
mecca,67.93,21.43,525.0,1.0,SA,1558378872.0,48.0,21.43,39.83,88.62,1.74
salinopolis,82.08,-0.61,305.0,90.0,BR,1558378846.0,82.0,-0.61,-47.36,82.14,12.57
belmonte,80.6,-15.86,476.0,60.0,PT,1558378886.0,58.0,40.36,-7.35,63.0,7.0
